view,case_id,cohort,point,cell_id,measured_blocks
T,bb84_n18,primary,T17,cell-e7d3142651d83281f7468e36bbc2bafeadc0f39a7e1059594b454fdfc0679c24,"[1,2,3,4,5]"
T,bb84_n18,primary,T18,cell-213d0e5f374fbd219806c2a749d4ddfc4dc9c9048b219e774996de590325196b,"[1,2,3,4,5]"
T,bb84_n18,primary,T19,cell-afaa87f8ccc6c7bc02bfee0c8969931ce5f4221366d4a8c65de49d00bc871084,"[1,2,3,4,5]"
T,bb84_n18,primary,T20,cell-7b56a0c037bcdb07d7dfa346f9b5d4e9335993de804bafd1677d99bf810518f9,"[1,2,3,4,5]"
T,bb84_n18,primary,T21,cell-fd6bba306ed29882718b56479ae3b672dda900f422bfc4e198ad55c4bac3e8c2,"[1,2,3,4,5]"
T,bb84_n18,primary,T22,cell-485dbea61732ce946e539d52183d18a85c9ddff07fffaf122247b3711d894860,"[1,2,3,4,5]"
T,bb84_n18,primary,T23,cell-573a03bb74f298380d84e5c8199260b1a4067bb396bac8603656a1df62cc5d6a,"[1,2,3,4,5]"
T,bb84_n18,primary,T24,cell-4d763bd3c222c55a34c4860bbe956a1dfe229c38fa4ba2afbca8a5136abd7d30,"[1,2,3,4,5]"
D,bb84_n18,primary,D1/T8,cell-bdfd7c724dbe80ec4eeff940d8065ffa90998db84da65a1e808bface9d7fc382,"[1,2,3,4,5]"
D,bb84_n18,primary,D2/T8,cell-59eb5e9936993775a5d0932f73104e6ef6671f3418a37a2e307d345eccdea3ac,"[1,2,3,4,5]"
D,bb84_n18,primary,D4/T8,cell-a31ebb6b0207a41d5afb98416e3dd2343d493a97430cf0858204fbe1793c5596,"[1,2,3,4,5]"
D,bb84_n18,primary,D8/T8,cell-119537c0c1d2f47cd180a6aace4f45e741f69ae190e1b91840444837d4ff4882,"[1,2,3,4,5]"
D,bb84_n18,primary,D16/T8,cell-96e2d43a66b2751d33b0f580a36265e8a4c245ef116686461d5f90078bd8c4d6,"[1,2,3,4,5]"
D,bb84_n18,primary,D32/T8,cell-92f7bcbd0e0c2d03cf57dd62e29c2179e781fc148071c5685dff7ae0203965b0,"[1,2,3,4,5]"
D,bb84_n18,primary,D64/T8,cell-2ba4aca7c0a99130160da155db333eb22b92bdb107b36e45b6cfa4dcae105b63,"[1,2,3,4,5]"
D,bb84_n18,primary,D1/T24,cell-9352091e95134448ae9c45f33b248cfbb5d12770dcad6516847a68e419c5aa57,"[1,2,3,4,5]"
D,bb84_n18,primary,D2/T24,cell-b51765e033afc591eefd5d0fa0685e8a9c5a58c9941a1754bac203a171ed63c6,"[1,2,3,4,5]"
D,bb84_n18,primary,D4/T24,cell-c6b638591bd34c0d44e720e47bcc94c8e172dcfd3df153f0796529185c7e5e8f,"[1,2,3,4,5]"
D,bb84_n18,primary,D8/T24,cell-2eb35c4c6bfa7e6aeec2e5359af7eedd818c72e7a5ef1ae2074ebc76f265ae42,"[1,2,3,4,5]"
D,bb84_n18,primary,D16/T24,cell-23e31d9ff523bb2574b3574466dde4969f4ec92777c4d6c32e1bfca4aefb8f4f,"[1,2,3,4,5]"
D,bb84_n18,primary,D32/T24,cell-8604a39ea79fba46dcf1edf711888073df4ed40b3f381b6b29f134af1d2871dd,"[1,2,3,4,5]"
D,bb84_n18,primary,D64/T24,cell-4462c4fa72751a611cc360651ce63900d5cd03c062c58c0a3816d7ae3c658526,"[1,2,3,4,5]"
A,bb84_n18,primary,A0,cell-5a0d55996c90e4b5adc824c1861e7bbfe0133ee4ec1944e6c65a3c023b99d88b,"[1,2,3,4,5,6,7]"
A,bb84_n18,primary,A1,cell-1ecd50fb53ab8b81de7b4edafbca637a05b50837f567d494ea7ab719b544f281,"[1,2,3,4,5,6,7]"
A,bb84_n18,primary,A2,cell-4ec858e90d26b934caa128dfba75b25639ca40b79d73f85c81477b7c24c1ce12,"[1,2,3,4,5,6,7]"
A,bb84_n18,primary,A3,cell-3e51cfb3e1f72db850747c1313cf9e53f51a7d319f70d6370eddf641cabf1c71,"[1,2,3,4,5,6,7]"
A,bb84_n18,primary,A4,cell-a31ebb6b0207a41d5afb98416e3dd2343d493a97430cf0858204fbe1793c5596,"[1,2,3,4,5,6,7]"
T,bv_n18,primary,T1,cell-126b61ae3d77f074a408c6e7f792e952c10e9f99a0becf6f171f7d04d05847d1,"[1,2,3,4,5]"
T,bv_n18,primary,T2,cell-9f63a776690668364561605a31d19ffe43a2d4b1ae97e4d6dbc10f19102b9cb4,"[1,2,3,4,5]"
T,bv_n18,primary,T3,cell-0bd687748b8a5cb1662433a7aa07f932cde6ea81e14a56df76c0654b4eaa19b0,"[1,2,3,4,5]"
T,bv_n18,primary,T4,cell-27c43433d1fab118e59bb8d097a5deceb038b527be9258cfe7c268c398a5a247,"[1,2,3,4,5]"
T,bv_n18,primary,T5,cell-a16afb173de7f6bde7b64395cd335727f945079499943405494fdb1ac5376fdf,"[1,2,3,4,5]"
T,bv_n18,primary,T6,cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,"[1,2,3,4,5]"
T,bv_n18,primary,T7,cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,"[1,2,3,4,5]"
T,bv_n18,primary,T8,cell-517d732a7ef24dfdd0dace299d8be74b7f1a671cddc63f606b5aed12fa16b78c,"[1,2,3,4,5]"
T,bv_n18,primary,T9,cell-72921fb54f8859a27d6ab1c50bb318525b1c5cced9b206ef512b014aa5bc2f51,"[1,2,3,4,5]"
T,bv_n18,primary,T10,cell-1d597d23c15dd0551203e7f7820f9e792320b9fa8cbce3c03acd395043fe7804,"[1,2,3,4,5]"
T,bv_n18,primary,T11,cell-e769c5e9cb1ac7f08989850c74fd29b6521a343220d2a37e2b531578ee4592a1,"[1,2,3,4,5]"
T,bv_n18,primary,T12,cell-246adeb90cc7ce87c09f36c5a8a75744f5bc9f1887bc44f24b60ebfb2077774b,"[1,2,3,4,5]"
T,bv_n18,primary,T13,cell-8d7aa71e4fed7fd459ca37eb1203a433d71adf3a773a97bc18f20ecd60a0acc4,"[1,2,3,4,5]"
T,bv_n18,primary,T14,cell-a7a09be8af69d4e20f52139fa5f496eae05492e1fef13030e2b052b376c6cc86,"[1,2,3,4,5]"
T,bv_n18,primary,T15,cell-390fa7d6b9be20a490ed091d8e1ab35913b9aea0388eca2415116f6b348bc6d9,"[1,2,3,4,5]"
T,bv_n18,primary,T16,cell-ed3cc79ef9e813684d9bf7f0749a9d59f3044b78e6a33be6a9428d7e04291e06,"[1,2,3,4,5]"
T,bv_n18,primary,T17,cell-37afb89a81a4a33c7dfb15a56cd7251527eed1cf68194c2af96b958eb8f69310,"[1,2,3,4,5]"
T,bv_n18,primary,T18,cell-128a03d27a53e2ef477447e22d2b9c56f6d950db52099597f69373743fc9f90a,"[1,2,3,4,5]"
T,bv_n18,primary,T19,cell-8f125914e5e90bda2ddcbc79e9d7ebd200c5226e5b19694368c08208b9c2c058,"[1,2,3,4,5]"
T,bv_n18,primary,T20,cell-9d5681dfa3a394178d79792df4f946d54e52f60ba1ef3834f35941b0047fe06a,"[1,2,3,4,5]"
T,bv_n18,primary,T21,cell-67bc542f4af1bf62bbb366a159bc7adea10f351cb3daa85ed326e560d9d6cd6a,"[1,2,3,4,5]"
T,bv_n18,primary,T22,cell-f0592b63359092a4dd7f1fabbb4751557a7134794b5ac6d6210c354b46f52546,"[1,2,3,4,5]"
T,bv_n18,primary,T23,cell-883a761865c6b564adb419ac2692bdcc773aa306f2390852b8b8a6a881a11d46,"[1,2,3,4,5]"
T,bv_n18,primary,T24,cell-c18ef2d61753bcc8eb94479539b24357057e44a9f2276fa5122655b55dfa310f,"[1,2,3,4,5]"
D,bv_n18,primary,D1/T8,cell-612780dbe66573e44b023844c3c4d81faf85f5a53cbc5b9869ff63fec98d88ee,"[1,2,3,4,5]"
D,bv_n18,primary,D2/T8,cell-9cdf896f1b31dad89b1a6e2614868103decb3c8459e0ce2364d3d147a5d33c8b,"[1,2,3,4,5]"
D,bv_n18,primary,D4/T8,cell-df6d73f1d629cbf673b3bdaf67a8d6c3c87167bf0b5f0958808c051f3693bbfc,"[1,2,3,4,5]"
D,bv_n18,primary,D8/T8,cell-8319ff84a715b539a4b6080d00139da4330df8e26aae09514f3537559584eac8,"[1,2,3,4,5]"
D,bv_n18,primary,D16/T8,cell-e37075a3ed91a17441f373af0ed64aa3bb573d1ad2ffaf43d52e93763b6ccff0,"[1,2,3,4,5]"
D,bv_n18,primary,D32/T8,cell-d939071d201339f3f0116e8b10395662573c34f2159e52fbe3c3a7e1badffa83,"[1,2,3,4,5]"
D,bv_n18,primary,D64/T8,cell-5d78dce6dc84dc97491aadb67fbec76c54db114bde1d375e073564e93a3b3a89,"[1,2,3,4,5]"
D,bv_n18,primary,D1/T24,cell-9524edade319ec36c6179b0928d56c8128959f6f68706dc9d1b4455c3e2e1c59,"[1,2,3,4,5]"
D,bv_n18,primary,D2/T24,cell-c9a6ea693d6f5cd234390a283df853426e26cf172ee9c48b65d36289c628a512,"[1,2,3,4,5]"
D,bv_n18,primary,D4/T24,cell-73f31fce30700c1888dafc217ecc873d59a066bc4b8edd2d0e3b1a2a728aca69,"[1,2,3,4,5]"
D,bv_n18,primary,D8/T24,cell-c55ecad90eac6403b0999cd38f78a1a7c8a7d57d1adc38c0ee0aa55f04723adc,"[1,2,3,4,5]"
D,bv_n18,primary,D16/T24,cell-ad8cb6d223e15297a8c9b4d1de8844fc5148fdef4de7d8b78026ef1c53347be1,"[1,2,3,4,5]"
D,bv_n18,primary,D32/T24,cell-4485a23047fc85f20187332f59f01c26f0048698090709eb18bb30807f87bdea,"[1,2,3,4,5]"
D,bv_n18,primary,D64/T24,cell-9d400f02c2b4f0251cc5e5e5a8bddf4a37d725a3c0e1cb27466527799aeadb6d,"[1,2,3,4,5]"
A,bv_n18,primary,A0,cell-126b61ae3d77f074a408c6e7f792e952c10e9f99a0becf6f171f7d04d05847d1,"[1,2,3,4,5,6,7]"
A,bv_n18,primary,A1,cell-517d732a7ef24dfdd0dace299d8be74b7f1a671cddc63f606b5aed12fa16b78c,"[1,2,3,4,5,6,7]"
A,bv_n18,primary,A2,cell-27c18d2412712834791e7c0cc0829ed090f136a3a5edb97626f5fecf79847894,"[1,2,3,4,5,6,7]"
A,bv_n18,primary,A3,cell-41d0160c90f4b398c9f714b29aebac0ec7cae76ca1fb939ae993068d0e9d58b5,"[1,2,3,4,5,6,7]"
A,bv_n18,primary,A4,cell-df6d73f1d629cbf673b3bdaf67a8d6c3c87167bf0b5f0958808c051f3693bbfc,"[1,2,3,4,5,6,7]"
T,edc_n17,primary,T1,cell-904ebdc712d340bcb710b7bfe9226aa0eca39ea6396e1120cafcc7ae7ef26e94,"[1,2,3,4,5]"
T,edc_n17,primary,T2,cell-952ef1d31d16e88be7ac3b01d0dc6d8e1279e6803b4ebf96be064a193b3fcb0a,"[1,2,3,4,5]"
T,edc_n17,primary,T3,cell-ff065cda487a892bcc33a4c9bd008858f0aebc8014f4f02cf8d50e8e4f621715,"[1,2,3,4,5]"
T,edc_n17,primary,T4,cell-558fbfafd0736d8eb7f9b44c1780d982f3b74a2dfbdfd7f026d074c2eaace5b7,"[1,2,3,4,5]"
T,edc_n17,primary,T5,cell-28a076e81e2ce786fed441c12b120aec7afb9b54fe94475395c4a7c4e196f7ae,"[1,2,3,4,5]"
T,edc_n17,primary,T6,cell-6613a8a1d3d0699b41f4bf88712908b24abdf9c0735646af512cad2c54669d13,"[1,2,3,4,5]"
T,edc_n17,primary,T7,cell-19e801741b6d9478a56f5e7948f34c149a48258ab4445b2d2b5dbb7dcefd72e9,"[1,2,3,4,5]"
T,edc_n17,primary,T8,cell-80ff103fe974788386d5ac93701495ae466d82afac13069f32f0942da82e683e,"[1,2,3,4,5]"
T,edc_n17,primary,T9,cell-6b065fbf5b2b3b1b5665d3894aac247f70cc302ffc1abbdf287f12522cd19bb9,"[1,2,3,4,5]"
T,edc_n17,primary,T10,cell-1576540bc9eddf62742fbd58f0b7654291b8f8d3bed5a913998540fcbf706f4c,"[1,2,3,4,5]"
T,edc_n17,primary,T11,cell-c12b269a154b94bac91bb66592e5f1e873a416f6034b8da42e97bdde61c8ef81,"[1,2,3,4,5]"
T,edc_n17,primary,T12,cell-5e22d583e02f4033c7e53e01d2dd7517d4dd22432ee588f330c25826028b83b8,"[1,2,3,4,5]"
T,edc_n17,primary,T13,cell-6588f5e5635bb8d69c6eaec83a8876038cb82b468f0616de84e5e835a2e251a8,"[1,2,3,4,5]"
T,edc_n17,primary,T14,cell-61e27e4784b0028b4d7911231caf06972873c473197261743479061c10eef60d,"[1,2,3,4,5]"
T,edc_n17,primary,T15,cell-d7aa7d86afa0e8dc33101bf830891a0fa0bce3622946b1ab20b33c49c6432635,"[1,2,3,4,5]"
T,edc_n17,primary,T16,cell-d3173ad9f3574e0234c4e6480d8630abfb7734066977ec2dd141800e1bbf0786,"[1,2,3,4,5]"
T,edc_n17,primary,T17,cell-e190a47082ec9e2551ee031f2d6142817c5fce0418797ac602a590ba7347497c,"[1,2,3,4,5]"
T,edc_n17,primary,T18,cell-33ddfa0fe7332075b32d41fe6a591bd1ff1908443aa7dff7f4d52ee053e43841,"[1,2,3,4,5]"
T,edc_n17,primary,T19,cell-9f3cf3f445117aae658620fad86429c6bcf2402cf13a083e31b2ffaf37554b7c,"[1,2,3,4,5]"
T,edc_n17,primary,T20,cell-133afcdcb9fa34a6a6de42957d13828ae28575e5d53e58c55714a4d0c9800322,"[1,2,3,4,5]"
T,edc_n17,primary,T21,cell-453d66fde9fbbc9592c9a724cce5cdce07b27a4e56ca051587fa10a86c9c08df,"[1,2,3,4,5]"
T,edc_n17,primary,T22,cell-98d47586f377ec0841e201b236a3e4fded8f6fcf0b3d4aaf56070b138623e4c2,"[1,2,3,4,5]"
T,edc_n17,primary,T23,cell-b6d6783d5a9a8acc4090c2d35c5cc565a260dd0283bb8692ea7c87f24b2adae4,"[1,2,3,4,5]"
T,edc_n17,primary,T24,cell-f8fa0889123480f3d77ad9f4ed845143563cae1553538f6bb760eb20d872b95f,"[1,2,3,4,5]"
D,edc_n17,primary,D1/T8,cell-8b0bf0df67ee9209e3fbbe069fce7ca2c00aa2f8f44a0e1ead1cc4b73d48173f,"[1,2,3,4,5]"
D,edc_n17,primary,D2/T8,cell-b42dd2d4da1b9775505eb8eea77a53c456c30db23154ab2dd00d45ae73c5900c,"[1,2,3,4,5]"
D,edc_n17,primary,D4/T8,cell-51348aecf24e3d60a41c23fcf38ebf9168b1d70ec24c2c1c2c52e8d63009a1cd,"[1,2,3,4,5]"
D,edc_n17,primary,D8/T8,cell-ae151f7f49c1d4d0622a8f5239c8de5bdd9ab22d78bed9a2371f962fc471781d,"[1,2,3,4,5]"
D,edc_n17,primary,D16/T8,cell-20f030b1d877b1b931978161fc431edfd37f51bf58e78d734b722236a0fabd07,"[1,2,3,4,5]"
D,edc_n17,primary,D32/T8,cell-d1762a682984006083c1bc8430071a2dce19801239ff224b3f7cdea597f256b6,"[1,2,3,4,5]"
D,edc_n17,primary,D64/T8,cell-5751f0ce1e299a9971fafd7edf5b88bc8dcba69aa8e84d35586ccd593d992e0a,"[1,2,3,4,5]"
D,edc_n17,primary,D1/T24,cell-cd80fe1a6a9f6c39307b05663c8aa896428b54d8d994d17ba5be859d566329c2,"[1,2,3,4,5]"
D,edc_n17,primary,D2/T24,cell-9b68f46bb151830cda6536d0ff0fa6b17f4b5990a4faa9446419f5fb94a05c73,"[1,2,3,4,5]"
D,edc_n17,primary,D4/T24,cell-d1b27576ee4a7662c868c012f0c0c7ff62d8b5c92623b9d12331b8c45c299466,"[1,2,3,4,5]"
D,edc_n17,primary,D8/T24,cell-cf1efffbdfc800cfc28fe60c39c43b9324a2c9c9fc8ea72f162e63dd04711227,"[1,2,3,4,5]"
D,edc_n17,primary,D16/T24,cell-e49bde6e9a0bcc032c457dd9a5401ac10c8c0fb74880980b9c5fea3cdc3174b4,"[1,2,3,4,5]"
D,edc_n17,primary,D32/T24,cell-a123e888827b900a6d7ae821b36f989e630f53ed8a860a3e49d63945a4f562d0,"[1,2,3,4,5]"
D,edc_n17,primary,D64/T24,cell-75fdee8355aa8a8de282b8e4d06bf8c742e7ec158f18ddd5fa2f48d31b084676,"[1,2,3,4,5]"
A,edc_n17,primary,A0,cell-904ebdc712d340bcb710b7bfe9226aa0eca39ea6396e1120cafcc7ae7ef26e94,"[1,2,3,4,5,6,7]"
A,edc_n17,primary,A1,cell-80ff103fe974788386d5ac93701495ae466d82afac13069f32f0942da82e683e,"[1,2,3,4,5,6,7]"
A,edc_n17,primary,A2,cell-1dde1e724a2bdd2230f2f15ed21fefa8533c7ef7e4d450414f95801065033f3c,"[1,2,3,4,5,6,7]"
A,edc_n17,primary,A3,cell-b43b2af7ab592c01b655180c6e6571ede857847470bcf8c54101e7b6c5eac72e,"[1,2,3,4,5,6,7]"
A,edc_n17,primary,A4,cell-51348aecf24e3d60a41c23fcf38ebf9168b1d70ec24c2c1c2c52e8d63009a1cd,"[1,2,3,4,5,6,7]"
T,hs_n18,primary,T1,cell-bb60f34b41be7c2fa6b05d677af3a3914767425628955f479484c20bf0e1172c,"[1,2,3,4,5]"
T,hs_n18,primary,T2,cell-0a6e26f550cbb721b583b567cc6f79d55469a701ede674715014d157863e4754,"[1,2,3,4,5]"
T,hs_n18,primary,T3,cell-41eb596e5ad2a6b9234d3599b296aee791d48af63113a449c789746dd316243e,"[1,2,3,4,5]"
T,hs_n18,primary,T4,cell-5c3f99915a64b08a48f7b8439fb774119def11ff1daed501bacac26bd8462280,"[1,2,3,4,5]"
T,hs_n18,primary,T5,cell-f40d42fa83cb4d8b12b5893066b318ca3314fff1106a6dd3c014a249ad9a1b09,"[1,2,3,4,5]"
T,hs_n18,primary,T6,cell-098c63a3aa14fd727b444886359706baee3164b9dad72b8bfbc7426df735cdd4,"[1,2,3,4,5]"
T,hs_n18,primary,T7,cell-28e421ddfab83ffdf7704a5a2276d50a4ea00c5880427e302941b0cc0d19a911,"[1,2,3,4,5]"
T,hs_n18,primary,T8,cell-a81fcf1c11705e95b0da6a63b421d3f2b56b61f855696f95486be34223cfefd0,"[1,2,3,4,5]"
T,hs_n18,primary,T9,cell-8975124c43b98090857d3b63197d6f17ed305a464bfb46f18987462adf30f412,"[1,2,3,4,5]"
T,hs_n18,primary,T10,cell-ce5d55b151031bcfa6652473f5829218de904c243dce3c6096229d39e6855fd2,"[1,2,3,4,5]"
T,hs_n18,primary,T11,cell-dba233cc0f1c1729ed01ee3b570aabd2782fc95fc7cb7b4885637ea77d9c7961,"[1,2,3,4,5]"
T,hs_n18,primary,T12,cell-dc0a5cd48d8aa77156b662aa6ba12aea2cbb401895e92fe6227654deebfd835f,"[1,2,3,4,5]"
T,hs_n18,primary,T13,cell-cdf2294374037fedd53e7b19e6833aee04b7b19c942e66be7d83a8e2e713ed69,"[1,2,3,4,5]"
T,hs_n18,primary,T14,cell-25c8679e2877c487b94936b4e02ed2a920d6f4732513b5c9daea95e30c2fa469,"[1,2,3,4,5]"
T,hs_n18,primary,T15,cell-596a20b230eac7c1836b18a11ab446a949da9a043c3d536d4c1f5929c82fa878,"[1,2,3,4,5]"
T,hs_n18,primary,T16,cell-330409584dc20b8e574ede26c239106f4ed22bccc5577e65350848986e41a3a9,"[1,2,3,4,5]"
T,hs_n18,primary,T17,cell-21e77bd5995e103c62ce1087c1ae3f60fda72b0e27e363a739c8a2a67dbc1274,"[1,2,3,4,5]"
T,hs_n18,primary,T18,cell-d2a8e7a73666fa621549ac57fdd47b092338b048889dfa25ee8e6239a8ba99b0,"[1,2,3,4,5]"
T,hs_n18,primary,T19,cell-627c2470c16b7c87b091e36c1c827ec3999dedeb89daf885b9b0bd44ddc2de3c,"[1,2,3,4,5]"
T,hs_n18,primary,T20,cell-e15406721fd4fbadc501d6ec6616ef35cae714a043f08b3233805070848ae931,"[1,2,3,4,5]"
T,hs_n18,primary,T21,cell-1660b0baf87b188d6fbd40b87bffa7c07e4ea6b3e75c423444ee08976c3ba72e,"[1,2,3,4,5]"
T,hs_n18,primary,T22,cell-9a14090b1e44ab1f8b365506e8b1712564db88300eaa4242aa9b84f1280e5ebf,"[1,2,3,4,5]"
T,hs_n18,primary,T23,cell-62a9c7655ee325085d2d1e02a9b20a8693553526b571c7247fa97af5c2c2690a,"[1,2,3,4,5]"
T,hs_n18,primary,T24,cell-31b19b10b1d1886c26765c3cb05e62f1cb384dbd879b5655600d4d80bf1eb616,"[1,2,3,4,5]"
D,hs_n18,primary,D1/T8,cell-cde87601882f2fdc3d1805612483d608d3ef97161564649761deb12f18038ac0,"[1,2,3,4,5]"
D,hs_n18,primary,D2/T8,cell-0ed5739e09a3788e06add0b2956129ba25736e1a8787942dd358ea2f990fbcbe,"[1,2,3,4,5]"
D,hs_n18,primary,D4/T8,cell-8fc3ac603a1b1c47a22fcd983d1cf216c2dd22271a26c27f778e882fd3870024,"[1,2,3,4,5]"
D,hs_n18,primary,D8/T8,cell-b1054bf169f966ab46527680c9f2857407627fdce192e67589e484bf3994f589,"[1,2,3,4,5]"
D,hs_n18,primary,D16/T8,cell-faaef68fa7ed87038916e35764fdf4680cfad4f7b06409bce8e93024c09d3a67,"[1,2,3,4,5]"
D,hs_n18,primary,D32/T8,cell-2a4ed2570b383e0cc9be8f709cd0ae9a21d4dc6a256e8134e25b3f3fae555788,"[1,2,3,4,5]"
D,hs_n18,primary,D64/T8,cell-ad5e810b1f76dd99cb1d34c9e7b48b657139a160980da8753b818cd2f4116a0e,"[1,2,3,4,5]"
D,hs_n18,primary,D1/T24,cell-3cb46ae80fdcdd4d84dee60087ccc85073f7c0e667a2264fb502e2abfc11d127,"[1,2,3,4,5]"
D,hs_n18,primary,D2/T24,cell-1502b09b7a622b362b18ba19df114efe94cb66c73a73e13ea9baa97d91ba9aa0,"[1,2,3,4,5]"
D,hs_n18,primary,D4/T24,cell-ca877e196041c90fd6f4544d1e5a5efe701752039d9b1114a8db946dffa1bae5,"[1,2,3,4,5]"
D,hs_n18,primary,D8/T24,cell-db769d8630f54b0f6c15da92d4e954d03f44be0e4a9d4e90db45fcafb83df3ed,"[1,2,3,4,5]"
D,hs_n18,primary,D16/T24,cell-4fd7bfa1c356ab3e86439ed994142ee1e8b1a52d2bf72c87dcd8276241b80d42,"[1,2,3,4,5]"
D,hs_n18,primary,D32/T24,cell-81e3e536bbbb3ab49a1f200dba64f59701a59f9246128a9fba4fe63dc4c0a65a,"[1,2,3,4,5]"
D,hs_n18,primary,D64/T24,cell-b769d86a4617218ab819caacbb604a8ad35ea0debba72f546b845fe845f7416a,"[1,2,3,4,5]"
A,hs_n18,primary,A0,cell-bb60f34b41be7c2fa6b05d677af3a3914767425628955f479484c20bf0e1172c,"[1,2,3,4,5,6,7]"
A,hs_n18,primary,A1,cell-a81fcf1c11705e95b0da6a63b421d3f2b56b61f855696f95486be34223cfefd0,"[1,2,3,4,5,6,7]"
A,hs_n18,primary,A2,cell-af6c75cfca42bd5528196c197d5b8e266d7c0a35ba0a8f28b2ed96e658e9563f,"[1,2,3,4,5,6,7]"
A,hs_n18,primary,A3,cell-8c65b49e992f9c4a1ee34d28760697233bbd0c00ce6caa55a02ddb8935d9da39,"[1,2,3,4,5,6,7]"
A,hs_n18,primary,A4,cell-8fc3ac603a1b1c47a22fcd983d1cf216c2dd22271a26c27f778e882fd3870024,"[1,2,3,4,5,6,7]"
T,qrng_n18,primary,T1,cell-f50a27e4e009730a3b1d365bc86190773268d8cbefab93f3f17bddb0c2e2c25d,"[1,2,3,4,5]"
T,qrng_n18,primary,T2,cell-2a572d38a01633f03c5e9ec79ccea4288bbe48715ad3e0d3cd6e5788e2a50c0c,"[1,2,3,4,5]"
T,qrng_n18,primary,T3,cell-00cc838666e06c32ee9cbe9548f6dcb5f3d5cbfe85e6e9236a08ec28995c8633,"[1,2,3,4,5]"
T,qrng_n18,primary,T4,cell-0080d4585b332bd8e31923971e4ad47b2637aff70e916901de6fab69d5510984,"[1,2,3,4,5]"
T,qrng_n18,primary,T5,cell-28474e4369716b868c0ce368e3dacfa6cfc8782e4f77f7c44e307b2854683f39,"[1,2,3,4,5]"
T,qrng_n18,primary,T6,cell-36c8fd4afc7e4fcdcdf08895b63bbfd236e87b16ed5ae8d65d80bba739eb4356,"[1,2,3,4,5]"
T,qrng_n18,primary,T7,cell-c08c63fe9014617c818cafc9bd0a6def86e725902567926c949c865a9d2e8e66,"[1,2,3,4,5]"
T,qrng_n18,primary,T8,cell-1a1c668a42a425e92f9bc474f5e55ed9ff7d390415bd647dde80de191a25cea5,"[1,2,3,4,5]"
T,qrng_n18,primary,T9,cell-556abfde748f9e524dea400db51afa8719344c212ebbaca7ad4af97766c3bf23,"[1,2,3,4,5]"
T,qrng_n18,primary,T10,cell-a39dda06fd897ef1e62fbd86715cd3d602acb47adda6dca277993184c81ed0e3,"[1,2,3,4,5]"
T,qrng_n18,primary,T11,cell-e8d003ee9f33963c731ab595a510f673d9411aa57c18b29d35580ee1a38b3859,"[1,2,3,4,5]"
T,qrng_n18,primary,T12,cell-141b07ecf76db8a6dac851920dc983a7acaad215ae9a7cdc3b3cbbf7f72db881,"[1,2,3,4,5]"
